cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
44 59 1296 0 0 0 0 0 1.0007 0 0.9671 -0.0931 0.0997 0.1459 0.8258 0.9982 -0.2149 0.2418 0.2934 3.0115 0.7727 -0.1099 0.551 0.7224 4.5008 0.0484 0.0484 0.3083 0 0
44 60 1524 0 0 0 0 0 1.0008 0 0.9685 -0.2154 0.2154 0.2438 1.1826 0.9946 0.0518 0.1452 0.2415 1.3771 0.8275 0.0205 0.5167 0.6555 4.5534 0.1122 0.1122 0.2247 0 0
44 61 1309 0 0 0 0 0 1.0005 0 0.2282 -0.013 0.1884 0.2196 1.288 0.9888 0.0775 0.2487 0.2752 2.9238 0.717 0.1686 0.6815 0.852 4.5378 -0.0089 0.0089 0.4015 0 0
44 62 1328 0 0 0 0 0 1.0003 0 0.9893 0.0125 0.0672 0.0683 1.179 0.9902 0.0109 0.1257 0.175 1.8516 0.7446 0.0167 0.6126 0.7715 4.4495 0.017 0.017 0.3083 0 0
44 63 1512 0 0 0 0 0 1.0009 0 0.8695 -0.1625 0.1964 0.2316 0.876 0.9978 -0.1742 0.2765 0.3993 3.2079 0.7773 0.0236 0.5835 0.7434 4.5991 0.1113 0.1113 0.2347 0 0
44 64 1283 0 0 0 0 0 1.0003 0 0.9014 0.0527 0.1151 0.1532 0.8305 0.9966 0.0462 0.0932 0.1276 1.0031 0.7766 0.111 0.5878 0.7561 4.3939 -0.0575 0.0575 0.2965 0 0
44 65 1332 0 0 0 0 0 1.0007 0 0.9959 0.1411 0.1411 0.1801 1.1053 0.9973 0.1202 0.1469 0.1692 1.3188 0.7466 0.1061 0.6162 0.7845 4.1478 -0.0551 0.0551 0.292 0 0
44 66 1319 0 0 0 0 0 1.0012 0 0.984 -0.0958 0.1466 0.1569 1.2171 0.9949 -0.1297 0.2178 0.2824 2.1449 0.7462 -0.0388 0.6197 0.8017 4.3229 0.0022 0.0022 0.3103 0 0
44 67 1281 0 0 0 0 0 1.0009 0 -0.3405 0.1457 0.3626 0.3671 1.2733 0.966 0.1182 0.2537 0.37 2.7422 0.6826 -0.0039 0.6571 0.8261 4.2542 -0.0958 0.0958 0.347 0 0
44 68 1877 0 0 0 0 0 1.0007 0 0.2503 -0.0949 0.124 0.1904 0.8001 0.9953 0.075 0.1542 0.238 1.5783 0.7552 0.0559 0.6223 0.7839 4.8763 0.1606 0.1606 0.2359 0 0
44 69 1304 0 0 0 0 0 1.0006 0 0.9885 -0.1422 0.1422 0.1487 1.0142 0.9881 0.1003 0.3199 0.3865 3.6915 0.6471 0.1351 0.7374 0.9132 4.7143 0.1117 0.1117 0.3547 0 0
44 70 1348 0 0 0 0 0 1.0004 0 0.8011 -0.0623 0.1451 0.185 0.9821 0.9928 -0.1727 0.2054 0.2238 1.8059 0.7772 -0.2218 0.6043 0.7726 4.3798 -0.0243 0.0243 0.2852 0 0
44 71 1271 0 0 0 0 0 1.0005 0 0.9932 -0.1008 0.1713 0.1875 0.9932 0.9891 -0.2314 0.2728 0.4135 3.4709 0.6611 0.0257 0.6926 0.8709 4.4775 0.0082 0.0082 0.4365 0 0
44 72 1269 0 0 0 0 0 1.0002 0 0.9692 -0.0062 0.0953 0.0996 0.8512 0.9958 0.0274 0.1365 0.1536 2.5414 0.6351 -0.0285 0.6807 0.8648 4.4225 -0.0246 0.0246 0.3752 0 0
44 73 1333 0 0 0 0 0 1.0006 0 0.8906 0.0754 0.0792 0.1304 0.8531 0.9937 -0.0507 0.1213 0.1463 1.6707 0.6845 -0.1202 0.7029 0.8823 4.5647 0.0821 0.0821 0.3019 0 0
44 74 1334 0 0 0 0 0 1.0003 0 0.7037 -0.0883 0.213 0.2155 0.8167 0.9905 -0.2093 0.2981 0.3463 1.6933 0.7481 -0.0871 0.6355 0.8077 4.5964 0.0974 0.0974 0.2671 0 0
44 75 1317 0 0 0 0 0 1.0006 0 0.8282 -0.036 0.1475 0.1598 0.9629 0.9887 -0.2372 0.2443 0.3479 2.1841 0.7291 -0.0348 0.6296 0.7978 4.6607 0.1086 0.1086 0.2767 0 0
44 76 1208 0 0 0 0 0 1.0016 0 -0.0799 -0.1172 0.4474 0.4734 1.6725 0.9921 -0.0801 0.2323 0.2928 2.9199 0.6737 0.0886 0.6289 0.7939 4.3175 -0.1267 0.1267 0.3874 0 0
44 77 1255 0 0 0 0 0 1.0006 0 0.9957 -0.1651 0.1651 0.1721 0.8504 0.9983 0.1106 0.263 0.3227 2.8826 0.6856 -0.0812 0.6306 0.8174 4.7101 0.0507 0.0507 0.4034 0 0
