cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.cover beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.cover theta.CI attra.cor attra.bias attra.abbias attra.rmse attra.cover attra.CI lambda.bias lambda.abbias lambda.rbias lambda.rbias2 lambda.cover lambda.CI pvar.bias pvar.abbias pvar.rbias pvar.rbias2 pvar.cover pvar.CI sigma2.bias sigma2.abbias sigma2.rbias sigma2.rbias2 sigma2.cover sigma2.CI corrupt efficiency
1 47 420 0 0 0 0 0 1.0034 0 0.9202 0.4256 0.433 0.5523 0.9167 1.7941 0.9018 0.5426 0.6302 0.7685 0.91 2.69 0.9918 0.4516 0.4516 0.4606 1 1.806 0.0434 0.0434 NA NA 1 0.6099 0.3347 0.3347 0.3347 1.3347 1 1.7348 0.2963 0.2963 0.2963 1.2963 1 1.6579 0 0
1 48 417 0 0 0 0 0 1.0028 0 0.9116 0.1109 0.2812 0.3396 1 1.7072 0.8685 0.0857 0.4762 0.599 0.97 2.5557 0.9484 -0.0537 0.1866 0.2317 1 1.7591 0.1129 0.1129 NA NA 1 0.6328 0.2047 0.2047 0.2047 1.2047 1 1.5413 0.1538 0.1538 0.1538 1.1538 1 1.4195 0 0
1 49 486 0 0 0 0 0 1.0044 0 0.9114 0.514 0.5229 0.6133 0.8333 1.7027 0.9096 0.5075 0.6299 0.784 0.86 2.2875 0.9815 0.3855 0.3855 0.4419 1 1.5073 -0.0084 0.0084 NA NA 1 0.7068 -0.3602 0.3602 -0.3602 0.6398 1 0.9543 -0.3818 0.3818 -0.3818 0.6182 1 0.9317 0 0
1 50 434 0 0 0 0 0 1.0021 0 0.9515 -1.0635 1.0635 1.111 0.3333 1.8837 0.8557 -0.9963 1.0386 1.1774 0.7 2.7507 0.9329 -1.0549 1.0549 1.0963 0.31 1.79 0.0923 0.0923 NA NA 1 0.6465 0.193 0.193 0.193 1.193 1 1.5508 0.1472 0.1472 0.1472 1.1472 1 1.4457 0 0
1 51 388 1 0 0 0 0 1.005 0 0.9189 0.795 0.7961 0.8964 0.5 1.7869 0.881 0.7529 0.8408 0.9686 0.82 2.6364 0.9715 0.5655 0.5958 0.7318 0.71 1.8158 0.2935 0.2935 NA NA 0 0.5158 0.4546 0.4546 0.4546 1.4546 1 1.8329 0.296 0.296 0.296 1.296 1 1.6191 1 0
1 52 386 0 0 0 0 0 1.0052 0 0.9261 -1.2136 1.2136 1.2787 0.25 1.8678 0.8693 -1.163 1.1911 1.364 0.62 2.9985 0.869 -1.0529 1.0529 1.1249 0.46 1.9312 0.0091 0.0091 NA NA 1 0.5636 0.795 0.795 0.795 1.795 1 2.1636 0.756 0.756 0.756 1.756 1 2.1295 0 0
1 53 425 0 0 0 0 0 1.0026 0 0.929 0.6801 0.7645 0.937 0.5833 1.9302 0.8981 0.5427 0.6878 0.8235 0.88 2.5659 0.919 0.4818 0.4871 0.5608 0.91 1.8702 0.2066 0.2066 NA NA 1 0.763 0.0016 0.0016 0.0016 1.0016 1 1.4852 -0.0915 0.0915 -0.0915 0.9085 1 1.2582 0 0
1 54 454 0 0 0 0 0 1.0029 0 0.9542 -0.7127 0.7127 0.7811 0.6667 1.8565 0.8855 -0.5259 0.6575 0.7808 0.91 2.6632 0.9633 -0.6685 0.6685 0.7017 0.74 1.6983 3e-04 3e-04 NA NA 1 0.599 0.2007 0.2007 0.2007 1.2007 1 1.5372 0.1715 0.1715 0.1715 1.1715 1 1.5126 0 0
1 55 386 0 0 0 0 0 1.0047 0 0.9423 -0.5063 0.5063 0.5847 0.8333 1.779 0.8995 -0.5072 0.6088 0.7277 0.95 2.5627 0.9798 -0.5758 0.5758 0.5932 0.8 1.5569 -0.2473 0.2473 NA NA 1 0.5616 0.0627 0.0627 0.0627 1.0627 1 1.4082 -0.0253 0.0253 -0.0253 0.9747 1 1.3184 0 0
1 56 437 0 0 0 0 0 1.0027 0 0.9775 -0.5904 0.5959 0.6764 0.8333 1.7905 0.8538 -0.5821 0.7138 0.8613 0.79 2.3978 0.9806 -0.6151 0.6151 0.6556 0.74 1.7743 0.2308 0.2308 NA NA 1 0.6574 -0.1734 0.1734 -0.1734 0.8266 1 1.1341 -0.249 0.249 -0.249 0.751 1 0.9667 0 0
