"seed" "model" "Rhat.1.05" "N..Divergent" "N..Low.BFMI" "Excedeed.Treedepth" "Low.Bulk.ESS" "Low.Tail.ESS" "ACF1" "ACF2" "ACF3" "racf" "lpacf" "mssd" "Item1" "Item2" "Item3" "Item1.1" "Item2.1" "Item3.1" "Item1.2" "Item2.2" "Item3.2" "Item1.3" "Item2.3" "Item3.3" "Item1.4" "Item2.4" "Item3.4" "Item1.5" "Item2.5" "Item3.5" "ppp.q3.2.1." "ppp.q3.3.1." "ppp.q3.3.2." "OR.2.1." "OR.3.1." "OR.3.2." "ppp.ordiff.2.1." "ppp.ordiff.3.1." "ppp.ordiff.3.2." "ppp.resid.2.1." "ppp.resid.3.1." "ppp.resid.3.2." "ppp.rediff.2.1." "ppp.rediff.3.1." "ppp.rediff.3.2."
1008 "GPCM" 0 0 0 0 0 0 0.304 0.904 0.423 0.067 0.683 0.651 0.808 0.043 0.991 0.864 0.132 0.995 0.883 0.211 0.991 0.589 0.195 0.502 0.757 0.191 0.299 0.609 0.792 0.269 0.956 0.001 0.487 0.345 0.975 0.543 0.612 0.554 0.474 0.051 0.022 0.526 0.814 0.035 0.553
1008 "AR3" 0 1 0 0 0 0 0.402 0.63 0.744 0.24 0.592 0.614 0.665 0.684 0.81 0.686 0.722 0.685 0.429 0.747 0.818 0.505 0.431 0.624 0.518 0.2 0.164 0.506 0.877 0.392 0.419 0.44 0.238 0.531 0.838 0.608 0.209 0.006 0.038 0.542 0.523 0.498 0.258 0.518 0.177
1009 "TV-DPCM" 0 0 0 0 0 0 0.503 0.573 0.634 0.36 0.497 0.501 0.598 0.613 0.572 0.561 0.802 0.618 0.718 0.773 0.507 0.573 0.49 0.61 0.87 0.301 0.777 0.293 0.589 0.299 0.32 0.373 0.442 0.647 0.778 0.567 0.204 0.093 0.713 0.572 0.575 0.581 0.403 0.543 0.51
1009 "DPCM" 0 1 0 0 0 0 0.478 0.6 0.715 0.551 0.523 0.505 0.729 0.53 0.451 0.747 0.626 0.375 0.792 0.42 0.542 0.49 0.57 0.402 0.528 0.82 0.222 0.594 0.134 0.33 0.366 0.316 0.684 0.694 0.545 0.827 0.104 0.197 0.097 0.536 0.554 0.534 0.461 0.464 0.286
1009 "BiDim" 0 1 0 0 0 0 0.655 0.411 0.406 0.635 0.404 0.401 0.986 0.905 0.011 0.98 0.836 0.037 0.993 0.895 0.036 0.649 0.552 0.287 0.512 0.573 0.077 0.153 0.252 0.007 0 0.911 0.971 0.921 0.194 0.178 0.059 0.769 0.516 0.006 0.272 0.078 0.996 0.535 0.97
1009 "DRIFT" 0 0 0 0 0 0 0.5 0.561 0.705 0.408 0.548 0.519 0.868 0.635 0.796 0.726 0.407 0.74 0.666 0.473 0.754 0.5 0.45 0.497 0.23 0.411 0.815 0.387 0.742 0.526 0.442 0.141 0.462 0.184 0.491 0.223 0.678 0.351 0.41 0.528 0.436 0.535 0.578 0.214 0.475
1009 "GPCM" 0 0 0 0 0 0 0.446 0.486 0.754 0.433 0.52 0.531 0.662 0.185 0.916 0.562 0.34 0.956 0.647 0.444 0.788 0.591 0.378 0.637 0.516 0.18 0.215 0.706 0.241 0.058 0.725 0.088 0.498 0.083 0.929 0.695 0.377 0.042 0.128 0.326 0.235 0.557 0.691 0.365 0.811
1009 "AR3" 0 0 0 0 0 0 0.367 0.625 0.564 0.18 0.584 0.644 0.812 0.837 0.743 0.838 0.756 0.73 0.858 0.753 0.897 0.605 0.624 0.627 0.516 0.303 0.66 0.468 0.558 0.469 0.351 0.275 0.206 0.123 0.348 0.971 0.29 0.355 0.328 0.508 0.519 0.511 0.273 0.422 0.257
1010 "TV-DPCM" 0 0 0 0 0 0 0.553 0.489 0.423 0.498 0.444 0.48 0.86 0.966 0.988 0.631 0.961 0.955 0.682 0.944 0.918 0.578 0.583 0.65 0.742 0.603 0.318 0.486 0.552 0.66 0.338 0.153 0.064 0.512 0.603 0.977 0.535 0.356 0.852 0.548 0.451 0.359 0.332 0.435 0.672
1010 "DPCM" 0 8 0 0 0 0 0.79 0.236 0.544 0.939 0.283 0.24 0.926 0.634 0.838 0.684 0.503 0.817 0.7 0.521 0.661 0.635 0.627 0.522 0.452 0.69 0.098 0.742 0.329 0.401 0.302 0.169 0.447 0.518 0.92 0.224 0.468 0.628 0.454 0.601 0.394 0.572 0.42 0.784 0.237
1010 "BiDim" 0 3 0 0 0 0 0.696 0.61 0.723 0.356 0.378 0.33 0.574 0.904 0.485 0.555 0.922 0.522 0.575 0.904 0.655 0.526 0.607 0.496 0.504 0.405 0.194 0.064 0.342 0.114 0.073 0.741 0.306 0.563 0.138 0.652 0.736 0.488 0.35 0.298 0.502 0.52 0.72 0.351 0.715
1010 "DRIFT" 0 0 0 0 0 0 0.608 0.457 0.612 0.673 0.397 0.386 0.719 0.922 0.97 0.623 0.813 0.917 0.71 0.934 0.943 0.602 0.658 0.653 0.523 0.92 0.702 0.357 0.243 0.349 0.476 0.164 0.084 0.427 0.796 0.705 0.16 0.101 0.833 0.529 0.489 0.424 0.237 0.486 0.587
1010 "GPCM" 0 1 0 0 0 0 0.696 0.557 0.68 0.547 0.371 0.301 0.742 0.194 0.933 0.464 0.172 0.892 0.412 0.248 0.816 0.464 0.262 0.635 0.369 0.26 0.903 0.531 0.582 0.232 0.944 0.063 0.424 0.038 0.943 0.539 0.2 0.209 0.559 0.198 0.217 0.562 0.107 0.542 0.47
1010 "AR3" 0 0 0 0 0 0 0.32 0.359 0.894 0.479 0.648 0.724 0.883 0.797 0.974 0.816 0.832 0.926 0.802 0.794 0.941 0.547 0.412 0.625 0.446 0.135 0.935 0.485 0.79 0.702 0.446 0.089 0.147 0.458 0.834 0.646 0.234 0.688 0.101 0.543 0.366 0.438 0.534 0.311 0.506
