cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
13 111 406 0 0 0 0 0 1.0003 0 0.8751 0.2479 0.4123 0.5174 2.152 0.932 0.2411 0.3938 0.4939 2.5274 0.0818 0.0818 0.4389 0 0
13 112 450 50 0 0 0 0 1.0007 0 0.9279 0.3394 0.3553 0.4657 2.4359 0.9296 0.2908 0.453 0.5312 2.7712 0.0992 0.0992 0.5115 1 0
13 113 406 0 0 0 0 0 1.0008 0 0.9407 0.0786 0.2442 0.3379 2.5249 0.9058 0.0386 0.3382 0.4208 2.4779 0.137 0.137 0.441 0 0
13 114 412 0 0 0 0 0 1.0008 0 0.8832 0.3547 0.494 0.6977 2.8509 0.9333 0.1534 0.3612 0.4697 2.5908 0.1425 0.1425 0.4733 0 0
13 115 305 0 0 0 0 0 1.0005 0 0.9335 -0.0789 0.364 0.4763 2.5022 0.914 0.0874 0.3736 0.4508 2.2923 -0.1099 0.1099 0.4865 0 0
13 116 371 0 0 0 0 0 1.0003 0 0.924 0.2852 0.4006 0.5957 2.9597 0.9029 0.0561 0.3809 0.4938 2.5003 -0.308 0.308 0.5936 0 0
13 117 390 0 0 0 0 0 1.0006 0 0.9544 -0.0591 0.2522 0.3466 1.9537 0.9313 -0.0768 0.3477 0.4435 2.5469 0.0438 0.0438 0.4355 0 0
13 118 391 0 0 0 0 0 1.0006 0 0.8978 -0.2482 0.3974 0.4523 1.7922 0.9146 -0.2982 0.4473 0.5418 2.2516 0.0729 0.0729 0.4762 0 0
13 119 279 0 0 0 0 0 1.0005 0 0.9571 0.2324 0.3073 0.3742 2.3151 0.9205 0.1582 0.3435 0.4181 2.4052 -0.1134 0.1134 0.4851 0 0
13 120 348 0 0 0 0 0 1.0001 0 0.954 -0.0931 0.3068 0.3543 2.0434 0.9159 -0.1147 0.3475 0.446 2.298 0.0176 0.0176 0.4634 0 0
13 121 326 0 0 0 0 0 1.0008 0 0.9368 0.0614 0.2537 0.3663 2.0211 0.907 0.0833 0.3192 0.4209 2.1515 0.0249 0.0249 0.4951 0 0
13 122 314 0 0 0 0 0 1.0013 0 0.9443 -0.1654 0.3764 0.5114 2.7928 0.9045 -0.222 0.3521 0.4621 2.0461 -0.1393 0.1393 0.5161 0 0
13 123 385 0 0 0 0 0 1.0002 0 0.9303 -0.0285 0.3731 0.4529 2.0335 0.9231 -0.1091 0.3461 0.4337 2.4763 0.1744 0.1744 0.4276 0 0
13 124 354 2 0 0 0 0 1.0004 0 0.9397 0.008 0.4124 0.6428 2.9159 0.8799 -0.0369 0.3999 0.4896 2.2722 -0.0048 0.0048 0.5673 1 0
13 125 280 0 0 0 0 0 1.0003 0 0.9367 -0.3124 0.4382 0.5976 2.7402 0.8844 -0.086 0.4021 0.5123 2.0698 -0.1002 0.1002 0.51 0 0
13 126 341 0 0 0 0 0 1.0003 0 0.9321 0.0474 0.3824 0.582 2.6502 0.8556 -0.0546 0.3751 0.4781 2.1138 -0.1934 0.1934 0.5382 0 0
13 127 412 0 0 0 0 0 1.0003 0 0.9488 -0.1814 0.3127 0.3709 1.7213 0.9197 -0.1009 0.328 0.4128 2.2132 0.1358 0.1358 0.4653 0 0
13 128 336 1 0 0 0 0 1.0005 0 0.9426 -0.0787 0.252 0.3863 2.2606 0.9322 -0.0774 0.3105 0.3837 2.2348 -0.0317 0.0317 0.5038 1 0
13 129 334 0 0 0 0 0 1.0005 0 0.9294 0.0698 0.3059 0.4039 2.5149 0.9163 0.0126 0.3381 0.409 2.4065 -0.0689 0.0689 0.4896 0 0
13 130 358 0 0 0 0 0 1.0003 0 0.8997 -0.4392 0.5235 0.86 3.1944 0.9177 -0.2919 0.4444 0.5466 2.2781 0.0396 0.0396 0.4831 0 0
