cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
36 92 1251 0 0 0 0 0 1.0003 0 0.4267 -0.0653 0.1865 0.2116 0.9452 0.9755 -0.0015 0.1597 0.2201 2.0053 0.6743 -0.0135 0.5952 0.747 4.2267 0.0877 0.0877 0.3645 0 0
36 93 1208 0 0 0 0 0 1.0003 0 0.8561 -0.1931 0.2098 0.2555 1.159 0.9454 0.0111 0.4457 0.6772 5.4348 0.5719 -0.0059 0.6632 0.8114 4.4525 0.1811 0.1811 0.5671 0 0
36 94 1229 0 0 0 0 0 1.0014 0 0.9279 -0.3306 0.3306 0.4176 1.1745 0.9946 -0.2099 0.4771 0.6947 6.8047 0.6797 0.0087 0.6014 0.7544 4.2407 0.0989 0.0989 0.4394 0 0
36 95 1235 0 0 0 0 0 1.0018 0 -0.1285 0.0552 0.3113 0.3236 1.112 0.9809 -0.1333 0.2357 0.2759 2.11 0.623 -0.0529 0.6504 0.8209 4.0749 -0.2395 0.2395 0.4493 0 0
36 96 1302 0 0 0 0 0 1.0008 0 0.2114 0.0159 0.422 0.4558 2.0937 0.9622 0.2245 0.5204 0.7318 5.9165 0.6124 0.0648 0.6225 0.799 4.1079 -0.0551 0.0551 0.4303 0 0
36 97 1242 0 0 0 0 0 1.0007 0 0.7333 -0.0619 0.1282 0.1413 1.1948 0.9938 0.183 0.2985 0.3766 4.258 0.5787 0.0682 0.6159 0.7922 4.0778 -0.2395 0.2395 0.5576 0 0
36 98 1253 0 0 0 0 0 1.001 0 0.8249 0.0571 0.1456 0.1869 1.6042 0.9672 -0.0527 0.3307 0.4124 5.0396 0.5626 0.0212 0.6692 0.8401 4.1495 -0.0045 0.0045 0.4941 0 0
36 99 1237 0 0 0 0 0 1.0005 0 0.6541 -0.0265 0.0771 0.0808 0.9231 0.9958 -0.2124 0.2291 0.2362 1.6206 0.6863 -0.1102 0.6034 0.7712 4.2481 0.1214 0.1214 0.3378 0 0
36 100 1223 0 0 0 0 0 1.0011 0 -0.1118 0.0609 0.2308 0.2735 1.214 0.9913 0.206 0.2302 0.2661 2.0528 0.4815 0.0706 0.7216 0.9094 4.1035 -0.4936 0.4936 0.482 0 0
36 101 1256 0 0 0 0 0 1.0007 0 0.9957 0.0707 0.0707 0.106 1.1687 0.998 -0.021 0.0775 0.0909 1.6558 0.6551 -0.0454 0.5864 0.7587 4.0779 0.0088 0.0088 0.3607 0 0
36 102 1270 0 0 0 0 0 1.0003 0 0.9982 0.1088 0.1088 0.121 1.1936 0.9988 -0.1454 0.1454 0.1583 1.6269 0.7603 -0.0122 0.5617 0.7108 4.058 0.0036 0.0036 0.3654 0 0
